Target_genes	YAP1|Average	SRX5718139|293	SRX5718140|293	SRX2858139|BEL-7402	SRX2858140|BEL-7402	SRX2858141|BEL-7402	SRX731134|CC-LP-1	SRX731139|CC-LP-1	SRX757325|H2052	SRX757326|H2052	SRX2558410|HBMEC	SRX2558412|HBMEC	SRX2844314|hESC_H1	SRX2844315|hESC_H1	SRX1011294|HuCCT1	SRX1011297|HuCCT1	SRX1038944|IMR-90	SRX1038945|IMR-90	SRX3401274|MCF-7	SRX5287688|MCF-7	SRX5287689|MCF-7	SRX5287705|MCF-7	SRX5287708|MCF-7	SRX4213898|MCF_10A	SRX4213899|MCF_10A	SRX883576|MDA-MB-231	SRX883577|MDA-MB-231	SRX1004562|MSTO-211H	SRX8400470|NCI-H1299	SRX8400471|NCI-H1299	SRX731141|NCI-H69	SRX731142|NCI-H69	SRX530920|OVCAR-5	SRX5887611|PC-9	SRX5887614|PC-9	SRX5887618|PC-9	SRX5887621|PC-9	SRX716555|SF268	SRX716556|SF268	SRX5287694|T-47D	SRX5287695|T-47D	STRING
SERTAD2	363.850000	141	1962	0	0	0	0	0	262	126	0	0	0	0	0	0	0	0	595	305	149	0	0	113	2147	894	447	0	0	0	0	0	148	953	562	361	383	1219	1762	1008	1017	0
VEPH1	362.050000	100	1491	0	0	0	0	0	1003	824	0	0	155	0	0	0	0	132	929	1141	1035	250	201	0	1801	299	272	0	0	0	0	0	0	667	374	220	353	552	428	1357	898	0
SKA2	360.500000	188	1409	0	0	0	0	0	757	609	0	0	0	0	0	0	262	338	903	1125	1187	294	219	165	1127	777	426	0	0	0	0	0	0	208	217	185	113	1108	866	1073	864	0
PRR11	360.500000	188	1409	0	0	0	0	0	757	609	0	0	0	0	0	0	262	338	903	1125	1187	294	219	165	1127	777	426	0	0	0	0	0	0	208	217	185	113	1108	866	1073	864	0
TEAD4	353.275000	288	1991	0	0	0	0	0	102	149	0	0	154	0	123	0	0	0	1388	1011	628	217	270	0	2297	426	0	0	0	0	0	0	0	75	117	0	0	977	1371	1432	1115	0
NEBL	349.825000	0	2323	0	0	0	0	0	2108	1782	0	0	0	0	0	0	1089	1314	1043	0	0	0	0	0	160	401	421	0	0	0	0	0	0	431	247	216	309	1006	531	376	236	0
KRT80	336.775000	86	1705	0	0	0	0	0	1680	1725	0	0	0	0	0	0	702	747	106	829	577	0	121	0	530	188	0	0	0	0	0	0	0	465	300	125	275	908	755	917	730	0
TSPAN4	335.700000	0	1757	0	0	0	0	0	1458	1593	0	0	0	0	0	0	474	661	521	517	512	0	0	0	1395	667	328	0	0	0	0	0	0	184	0	0	0	1395	1032	511	423	0
SLFN12	334.925000	197	1515	0	0	0	0	0	1538	1728	0	0	0	0	0	0	647	741	0	232	150	0	0	0	764	838	763	0	0	0	0	0	0	183	141	0	142	1832	1483	248	255	0
WTIP	330.025000	165	2465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1271	174	175	0	184	561	2439	1328	721	0	0	0	0	0	0	0	0	0	0	851	835	1214	818	0
HDAC7	324.150000	0	1889	0	0	0	0	0	1766	1930	0	0	0	0	0	0	623	672	733	223	249	0	0	0	828	506	229	0	0	0	0	0	0	323	253	0	258	1118	620	447	299	0
GLIPR1L1	295.700000	214	1609	0	0	0	0	0	1244	1178	0	0	0	0	0	0	485	605	718	855	918	124	0	0	602	318	172	0	0	0	0	0	0	0	0	0	0	1205	743	532	306	0
SRI	293.525000	0	261	0	0	0	0	0	431	364	0	0	0	0	0	0	0	80	734	2218	2134	589	578	0	201	0	227	0	0	0	0	0	0	749	635	398	594	0	0	888	660	0
MXRA8	287.800000	0	1797	0	0	0	0	0	1913	1459	0	0	0	0	0	0	557	734	0	0	0	0	0	0	742	570	382	0	0	0	0	0	0	541	435	321	328	965	532	236	0	0
TEAD1	280.700000	97	1784	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	938	570	507	115	0	260	2225	424	0	0	0	0	0	0	0	145	0	0	139	1193	1265	689	654	0
WWC2	274.500000	181	1309	0	0	0	0	0	280	332	0	0	185	0	0	0	0	0	490	558	538	0	0	175	1583	762	551	0	0	0	0	0	0	819	722	382	588	286	335	535	369	0
LRP6	273.075000	159	795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	943	1070	569	248	176	446	706	448	0	0	0	0	0	0	1052	763	553	659	693	907	372	364	0
SLC39A1	271.750000	0	657	0	0	0	0	0	235	121	0	0	0	0	0	0	0	0	1020	1227	810	298	297	0	1197	0	0	0	0	0	0	0	0	633	462	340	232	827	589	977	948	0
FBXL18	265.725000	0	447	0	0	0	0	0	187	313	0	0	0	0	0	0	374	512	1206	1042	922	333	456	0	0	270	223	0	0	0	0	0	0	463	275	298	332	90	76	1449	1361	0
ATAD2	261.200000	234	584	0	0	0	0	0	524	195	0	0	0	0	0	0	0	0	206	1037	1069	174	119	0	488	840	324	0	0	0	0	0	0	543	380	322	336	1116	1044	485	428	0
S100A16	259.850000	0	0	0	0	0	0	0	889	968	0	0	0	0	0	0	70	173	1254	795	573	149	157	0	220	122	0	0	0	0	0	0	0	446	323	127	236	581	315	1604	1392	0
ZMYND11	259.650000	0	1485	0	0	0	0	0	1339	1349	0	0	0	0	0	0	593	693	784	0	211	0	0	0	0	541	573	0	0	0	0	0	0	271	224	0	163	785	301	569	505	0
S100A2	259.550000	143	1354	0	0	0	0	0	1234	548	0	0	0	0	0	0	381	510	0	150	275	0	0	0	456	447	349	0	0	0	0	0	0	577	551	156	201	1606	1272	172	0	0
LMO7	259.375000	0	1614	0	0	0	0	0	2360	2251	0	0	0	0	0	0	849	1112	0	0	0	0	0	0	265	0	0	0	0	0	0	0	0	249	178	0	0	732	481	129	155	0
RRAS	256.875000	345	1893	0	0	0	0	0	1611	1497	0	0	0	0	0	0	261	409	0	232	469	0	0	0	308	242	114	0	0	0	0	0	0	536	368	209	301	588	458	204	230	0
LY6K	252.400000	0	1308	0	0	0	0	0	2414	2306	0	0	0	0	0	0	447	655	0	0	0	0	0	0	297	0	0	0	0	0	0	0	0	134	0	0	74	1393	1068	0	0	0
BCL9L	248.450000	0	1491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	561	534	473	114	154	211	1045	0	0	0	0	0	0	0	0	408	477	201	360	583	627	1504	1195	0
AJUBA	247.775000	178	1210	0	0	0	0	66	1705	1136	0	0	0	0	0	0	449	521	231	325	274	0	123	0	528	308	257	0	0	0	0	0	0	158	184	0	0	882	631	346	399	0
RBM17	247.375000	144	1060	0	0	0	0	0	267	209	0	0	0	0	0	0	176	323	413	785	807	0	0	0	850	723	397	0	0	0	0	0	0	401	191	0	207	824	683	777	658	0
TRIP6	246.725000	289	1532	0	0	0	0	0	620	410	0	0	0	0	0	0	241	251	0	1427	1355	376	193	0	321	245	0	0	0	0	0	0	0	424	379	233	298	711	400	164	0	0
LIMA1	245.900000	0	1009	0	0	0	0	0	1876	1623	0	0	0	0	0	0	307	294	490	407	302	0	0	0	272	0	127	0	0	0	0	0	0	267	226	140	252	773	335	676	460	0
ETS1	244.325000	0	1281	0	0	0	0	0	1822	1623	0	0	0	0	0	0	420	553	0	0	0	0	0	0	590	381	166	0	0	0	0	0	0	509	323	221	278	847	759	0	0	0
PDCD1LG2	244.125000	0	748	0	0	0	0	0	2405	2269	0	0	0	0	0	0	767	877	188	0	0	0	0	0	0	385	266	0	0	0	0	0	0	110	91	92	0	937	630	0	0	0
SYDE2	236.375000	300	1712	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	326	471	577	0	144	225	1295	604	310	0	0	0	0	0	0	409	398	220	143	567	681	532	406	0
BCAM	235.225000	0	507	0	0	0	0	0	1333	1159	0	0	0	0	0	0	0	138	802	169	144	0	0	0	1137	143	0	0	0	0	0	0	0	378	327	119	135	1124	599	672	523	0
KRT8	233.950000	0	652	0	0	0	0	0	1830	1834	0	0	0	0	0	0	395	460	207	0	0	0	0	0	235	133	107	0	0	0	0	0	0	385	168	98	160	1471	1223	0	0	0
PKD1L2	233.400000	0	1467	0	0	0	0	0	1553	1504	0	0	0	0	0	0	362	614	0	308	269	0	0	0	389	291	134	0	0	0	0	0	0	427	207	132	263	664	457	139	156	0
SEH1L	230.800000	0	1234	0	0	0	0	0	995	1019	0	0	0	0	0	0	671	1082	0	0	0	0	0	0	0	597	663	0	0	0	0	0	0	322	196	0	0	1491	962	0	0	0
OSMR	229.550000	0	913	0	0	0	0	0	1254	893	0	0	0	0	0	0	209	213	0	109	0	0	0	156	858	168	0	0	0	0	0	0	0	868	662	370	423	671	581	442	392	0
VGLL4	228.875000	0	862	0	0	0	0	0	803	741	0	0	0	0	0	0	140	181	334	484	551	0	0	0	1068	143	0	0	0	0	0	0	0	686	398	239	340	449	260	699	777	0
SH3TC2	225.425000	0	975	0	0	0	0	0	964	1029	0	0	0	0	0	0	190	247	796	209	0	0	0	138	1869	182	0	0	0	0	0	0	0	313	226	0	0	1113	766	0	0	0
DIS3L	223.850000	0	1005	0	0	0	0	0	1705	1666	0	0	0	0	0	0	276	376	263	0	0	0	0	0	0	487	538	0	0	0	0	0	0	0	0	0	129	1503	1006	0	0	0
CALD1	222.825000	0	1168	0	0	0	0	0	1183	1062	0	0	0	0	0	0	606	838	0	0	0	0	0	0	607	262	147	0	0	0	0	0	0	421	255	254	196	1046	666	202	0	0
NEMF	220.325000	144	808	0	0	0	0	0	665	573	0	0	0	0	0	0	0	191	686	868	806	320	145	0	322	545	319	0	0	0	0	0	0	117	0	151	103	903	640	223	284	0
NKIRAS1	214.650000	103	541	0	0	0	0	0	2020	1592	0	0	0	0	0	0	379	468	0	142	225	0	0	0	140	174	250	0	0	0	0	0	0	403	232	403	170	675	325	173	171	0
GINS1	213.550000	215	1523	0	0	0	0	0	644	237	0	0	0	0	0	0	191	237	0	852	729	0	0	0	373	487	367	0	0	0	0	0	0	271	317	138	189	595	669	239	269	0
RAPGEF2	213.025000	0	592	0	0	0	0	0	1186	1114	0	0	0	0	0	0	497	609	549	0	0	0	0	0	989	162	164	0	0	0	0	0	0	385	237	189	195	706	423	192	332	0
SSBP2	210.725000	177	970	0	0	0	0	0	802	305	0	0	0	0	0	0	277	388	308	409	719	0	0	341	615	181	0	0	0	0	0	0	0	0	115	0	0	1271	947	251	353	0
SYDE1	209.925000	215	1949	0	0	0	0	0	421	199	0	0	222	0	0	0	183	226	404	360	223	0	0	0	530	470	232	0	0	0	0	0	0	126	0	0	118	944	669	550	356	0
MYL12A	207.400000	0	741	0	0	0	0	0	372	231	0	0	0	0	0	0	0	0	0	1140	1169	584	263	74	223	413	277	0	0	0	0	0	0	633	335	123	241	453	474	327	223	0
AVPI1	207.100000	295	1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	576	520	0	0	349	1093	343	143	0	0	0	0	0	0	926	826	374	331	0	273	404	261	0
LHX4	203.650000	0	1275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	615	145	130	0	0	0	1329	272	152	0	0	0	0	0	0	0	0	0	0	1828	1661	289	450	0
FKBP9	202.375000	0	757	0	0	0	0	0	824	515	0	0	0	0	0	0	0	233	0	200	212	0	0	159	730	338	420	0	0	0	0	0	0	1113	887	177	257	672	274	204	123	0
PHACTR1	199.800000	0	1371	0	0	0	0	0	1404	1539	0	0	0	0	0	0	0	0	290	132	0	0	0	0	138	454	556	0	88	0	0	0	0	0	0	0	0	830	425	392	373	0
RASGRP3	199.175000	0	232	0	0	0	0	0	2489	2031	0	0	0	0	0	0	674	869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92	162	0	0	1001	417	0	0	0
JPH2	198.425000	0	1229	0	0	0	0	0	1753	1703	0	0	0	0	0	0	156	206	0	0	0	0	0	0	290	120	0	0	0	0	0	0	0	228	199	77	150	923	530	234	139	0
BATF	196.500000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	497	1266	1900	578	401	0	0	0	0	0	0	0	0	0	0	1107	677	330	383	0	0	335	386	0
CPA4	196.425000	0	1214	0	0	0	0	0	1683	1544	0	0	0	0	0	0	415	736	0	0	0	0	0	0	0	164	182	0	0	0	0	0	0	505	152	118	171	640	333	0	0	0
DUSP6	196.350000	95	567	0	0	0	0	0	1538	1409	0	0	0	0	0	0	532	510	0	161	173	0	0	0	349	456	230	0	0	0	0	0	0	0	0	0	0	821	575	208	230	0
SYTL2	192.800000	0	1101	0	0	0	0	0	1966	1757	0	0	0	0	0	0	409	746	0	0	0	0	0	0	154	127	177	0	0	0	0	0	0	231	0	0	205	574	265	0	0	0
COTL1	191.075000	0	499	0	0	0	0	0	1528	1624	0	0	0	0	0	0	585	817	0	0	0	0	0	0	0	175	231	0	0	0	0	0	0	406	287	175	276	720	320	0	0	0
FGF1	190.600000	0	1297	0	0	0	0	0	1551	1420	0	0	0	0	0	0	381	553	0	0	0	0	0	0	0	377	360	0	0	0	0	0	0	203	122	89	101	748	422	0	0	0
CTDSP2	187.950000	120	1131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	546	713	901	292	253	0	401	0	0	0	85	0	0	0	0	394	332	160	181	368	248	677	716	0
RGS5	186.375000	0	1735	0	0	0	0	0	591	611	0	0	0	0	0	0	143	290	0	0	97	0	0	248	387	328	230	0	0	0	0	0	0	385	117	0	0	1332	826	135	0	0
SBDS	186.325000	96	1138	0	0	0	0	0	621	650	0	0	0	0	0	0	175	210	106	354	353	0	0	0	311	312	232	0	0	0	0	0	0	426	425	217	314	499	244	464	306	0
TMEM200B	186.300000	88	1179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	305	380	448	0	191	0	0	927	411	0	0	0	0	0	0	1154	841	300	434	131	246	200	217	0
COL12A1	186.175000	0	1235	0	0	0	0	0	912	800	0	0	0	0	0	0	493	572	0	0	0	0	0	0	865	223	0	0	0	0	0	0	0	256	129	119	155	762	823	0	103	0
KCNMA1	184.925000	0	773	0	0	0	0	0	1475	1628	0	0	0	0	0	0	376	595	0	0	0	0	0	0	158	191	0	0	0	0	0	0	0	171	96	0	188	1033	713	0	0	0
PFKFB3	184.425000	256	1372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	769	137	151	99	305	345	296	0	0	0	0	0	0	514	453	250	294	0	166	509	477	0
TMOD3	183.650000	0	0	0	0	0	0	0	1660	1574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	797	340	330	0	0	0	0	0	0	450	369	201	165	964	496	0	0	0
TNFRSF12A	181.800000	174	1061	0	0	0	0	0	563	447	0	0	0	0	0	0	0	180	0	372	330	0	0	0	333	267	0	0	0	0	0	0	116	417	299	199	209	862	804	348	291	0
RHBDF1	180.550000	373	1658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	975	1150	121	97	0	329	298	0	0	0	0	0	0	0	557	458	194	204	0	0	504	304	0
MARCHF4	180.375000	0	0	0	0	0	0	0	1878	1756	0	0	0	0	0	0	514	755	0	0	0	0	0	0	0	273	280	0	0	0	0	0	0	121	99	0	0	1011	528	0	0	0
EIF5A2	180.200000	0	0	0	0	0	0	0	2194	2169	0	0	0	0	0	0	632	736	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	486	218	0	0	478	183	0	0	0
L1CAM	179.950000	0	1974	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	1386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	156	0	0	1748	1136	345	173	0
AXL	179.275000	0	860	0	0	0	0	0	957	976	0	0	0	0	0	0	343	225	0	0	0	0	0	0	904	509	172	0	0	0	0	0	0	410	181	163	249	639	583	0	0	0
GREB1	178.625000	0	197	0	0	0	0	0	261	191	0	0	0	0	0	0	0	0	487	873	2423	1130	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	306	1048	0
EIF3F	178.350000	129	949	0	0	0	0	0	1158	1004	0	0	0	0	0	0	281	320	0	353	274	0	0	0	0	630	525	0	0	0	0	0	0	94	0	0	0	797	441	0	179	0
RPL27	178.000000	0	402	0	0	0	0	0	950	871	0	0	0	0	0	0	209	447	0	0	0	0	0	0	346	430	298	0	0	0	0	0	0	499	682	262	214	893	452	165	0	0
GFOD1	176.075000	0	122	0	0	0	0	0	1879	1587	0	0	0	0	0	0	146	214	174	0	0	0	0	0	641	0	0	0	161	0	0	0	0	762	738	293	326	0	0	0	0	0
PLEKHG4	175.975000	0	1152	0	0	0	0	0	1558	1203	0	0	0	0	0	0	359	563	0	0	0	0	0	0	149	133	141	0	0	0	0	0	0	340	284	156	200	509	292	0	0	0
MSLN	175.325000	0	173	0	0	0	0	0	833	354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	740	338	233	0	0	0	0	0	0	867	978	474	536	797	690	0	0	0
SSR3	174.950000	158	1148	0	0	0	0	0	290	222	0	0	0	0	0	0	0	215	153	941	924	251	0	0	167	279	93	0	0	0	0	0	0	441	340	144	248	203	112	402	267	0
TK1	173.050000	150	1077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	340	444	533	150	0	0	549	926	582	0	0	0	0	0	103	243	331	155	212	303	388	283	153	0
PDZK1	172.675000	0	141	0	0	0	0	0	1888	1574	0	0	0	0	0	0	0	0	0	0	397	380	0	0	0	0	0	0	0	0	0	0	0	506	537	118	166	816	229	0	155	0
CDS1	172.675000	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	1483	1686	376	298	0	0	0	0	0	0	0	0	0	0	195	259	116	281	0	0	949	833	0
TCF4	172.600000	0	1592	0	0	0	0	0	997	795	0	0	0	0	0	0	390	555	0	0	0	0	0	0	231	135	172	0	0	0	0	0	0	0	0	0	0	888	395	420	334	0
MRPS24	171.600000	0	397	0	0	0	0	0	1172	990	0	0	0	0	0	0	561	615	0	0	0	0	0	0	91	0	142	0	0	0	0	0	0	454	519	164	203	871	507	178	0	0
TBC1D22A	169.675000	181	1599	0	0	0	0	0	772	530	0	0	0	0	0	0	123	140	0	548	731	0	136	0	360	138	0	0	0	0	0	0	0	582	303	183	303	0	158	0	0	0
SYNC	169.550000	0	1592	0	0	0	0	0	1108	994	0	0	0	0	0	0	493	533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131	78	0	0	1042	811	0	0	0
RIOK3	168.350000	0	1103	0	0	0	0	0	347	388	0	0	0	0	0	0	0	0	224	181	297	0	0	0	147	505	691	0	0	0	0	0	0	545	298	76	288	619	466	345	214	0
RGPD2	168.200000	896	214	0	0	0	0	610	424	469	0	0	0	0	151	563	666	673	210	0	0	0	0	0	0	297	0	0	0	0	0	0	595	0	0	0	0	341	382	0	237	0
APOL2	167.000000	0	607	0	0	0	0	0	1037	915	0	0	0	0	0	0	136	298	188	0	0	0	0	0	422	0	0	0	0	0	0	0	0	0	0	0	0	1683	1394	0	0	0
PRKCI	166.325000	0	435	0	0	0	0	0	224	246	0	0	0	0	0	0	102	219	161	245	236	0	0	164	330	339	187	0	0	0	0	0	0	904	624	187	198	588	393	520	351	0
COQ8B	165.275000	0	586	0	0	0	0	0	1371	1421	0	0	0	0	0	0	258	440	149	0	0	0	0	0	449	269	106	0	0	0	0	0	0	270	244	0	0	710	338	0	0	0
ALG10B	164.275000	0	251	0	0	0	0	0	966	843	0	0	0	0	0	0	227	257	0	178	179	0	0	164	488	353	146	0	0	0	0	0	0	137	147	0	0	921	806	285	223	0
NDUFA4	164.150000	161	1520	0	0	0	0	0	162	190	0	0	0	0	0	0	0	167	0	552	670	0	117	0	158	89	0	0	0	0	0	0	0	638	345	176	387	158	127	450	499	0
KCTD11	163.250000	145	1707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	260	431	418	104	0	0	684	0	0	0	0	0	0	0	0	605	469	187	300	0	262	377	581	0
PRIM2	163.225000	0	1439	0	0	0	0	0	1533	1282	0	0	0	0	0	0	604	663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	100	0	0	548	249	0	0	0
NOLC1	162.950000	130	946	0	0	0	0	0	1377	1038	0	0	0	0	0	0	134	246	0	181	228	0	0	0	220	232	155	0	0	0	0	0	93	213	134	125	84	554	342	86	0	0
TNNT2	161.225000	0	1514	0	0	0	0	0	190	162	0	0	141	0	0	0	0	129	1441	0	0	0	0	0	1358	0	0	0	0	0	0	0	0	224	0	0	127	490	187	315	171	0
LFNG	160.750000	0	1101	0	0	0	0	0	1394	1030	0	0	0	0	0	0	345	379	0	0	0	0	0	0	0	195	121	0	0	0	0	0	0	0	0	0	0	1163	702	0	0	0
MALSU1	160.425000	0	1054	0	0	0	0	0	257	306	0	0	0	0	0	0	143	319	595	0	0	0	0	0	273	173	0	0	0	0	0	0	0	504	360	184	275	505	222	737	510	0
CSPP1	159.400000	0	709	0	0	0	0	0	1703	1388	0	0	0	0	0	0	840	1204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	318	214	0	0	0
MSANTD3	157.200000	0	597	0	0	0	0	0	1785	1575	0	0	0	0	0	0	421	596	0	0	0	0	0	0	0	178	206	0	0	0	0	0	0	127	0	0	81	480	242	0	0	0
CAP2	157.100000	111	1188	0	0	0	0	0	370	371	0	0	0	0	0	0	0	0	0	259	1668	957	0	0	186	128	0	0	0	0	0	0	0	172	0	0	0	356	97	0	421	0
ZBTB38	157.075000	0	236	0	0	0	0	0	1323	1389	0	0	0	0	0	0	456	367	0	109	0	0	0	120	784	0	0	0	0	0	0	0	0	210	150	94	128	273	275	134	235	0
PLEC	156.625000	0	679	0	0	0	0	0	952	718	0	0	0	0	0	0	0	180	0	0	0	0	0	0	641	279	220	0	0	0	0	0	0	288	152	119	144	984	909	0	0	0
TGIF2	155.950000	346	1330	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	852	673	225	104	0	0	277	189	0	0	0	0	0	0	303	232	111	304	229	322	359	295	0
TAX1BP3	155.150000	0	1751	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	471	388	0	0	0	231	421	132	0	0	0	0	0	0	539	379	200	294	220	534	294	268	0
RCAN1	155.125000	98	1485	0	0	0	0	0	829	801	0	0	0	0	0	0	455	549	0	0	119	0	0	0	0	131	0	0	77	0	0	0	0	171	119	0	127	367	279	325	273	0
HRCT1	153.725000	181	728	0	0	0	0	0	784	529	0	0	0	0	0	0	135	178	0	0	0	0	0	441	1107	159	0	0	0	0	0	0	0	152	126	0	0	695	629	203	102	0
PICALM	153.150000	0	345	0	0	0	0	0	1773	1565	0	0	0	0	0	0	234	287	0	0	0	0	0	0	102	111	0	0	0	0	0	0	95	510	338	148	150	128	116	130	94	0
EMC6	153.050000	0	1751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	388	0	0	0	231	421	132	0	0	0	0	0	0	539	379	200	294	220	534	294	268	0
MGAT5B	152.775000	0	896	0	0	0	0	0	1350	1582	0	0	0	0	0	0	97	276	0	0	0	0	0	0	217	157	0	0	0	0	0	0	0	246	169	125	211	495	290	0	0	0
NBR1	152.700000	0	468	0	0	0	0	0	1627	1480	0	0	0	0	0	0	360	421	0	0	0	0	0	0	0	335	303	0	0	0	0	0	0	138	162	0	0	533	281	0	0	0
DHRS3	151.700000	0	455	0	0	0	0	0	1269	1134	0	0	0	0	0	0	484	528	0	383	452	0	0	0	231	0	137	0	0	0	0	0	0	132	0	0	0	268	0	326	269	0
HDAC9	151.675000	0	1052	0	0	0	0	0	1248	935	0	0	0	0	0	0	247	451	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	339	216	168	187	747	292	79	0	0
