Target_genes	FOXO1|Average	SRX1012536|B-Lymphocytes	SRX1012537|B-Lymphocytes	SRX7587157|Chondrocytes	SRX7587158|Chondrocytes	SRX7587159|Chondrocytes	SRX1048948|Endometrial_stromal_cells	SRX3230384|Hep_G2	SRX359830|LoVo	SRX5771936|OCI-LY1	SRX1735651|Pre-leukemia_stem_cells	STRING
ABHD13	13.1	0	0	0	0	0	0	0	0	0	131	0
ABHD15	25.5	0	0	0	0	0	0	0	0	0	255	0
ABHD17A	43.2	0	0	0	0	0	0	0	0	0	432	0
ABHD17B	17.8	0	0	0	0	0	0	0	0	0	178	0
ABHD17C	23.7	0	0	0	0	0	0	0	0	0	237	0
ABHD18	12.9	0	0	0	0	0	129	0	0	0	0	0
ABHD2	98.3	0	0	0	0	0	0	0	0	0	983	0
ABHD3	46.7	0	0	0	0	0	0	0	0	0	467	0
ABHD4	42.6	0	0	0	0	0	112	161	0	0	153	0
ABHD5	15.6	0	0	0	0	0	0	0	0	0	156	0
ABHD8	126.1	0	0	0	0	0	0	0	0	0	1261	0
ABI1	213	0	0	0	0	0	112	0	0	0	2018	0
ABI2	20.5	0	0	0	0	0	0	0	0	0	205	0
ABI3BP	11.5	0	0	0	0	0	115	0	0	0	0	0
ABITRAM	22.3	0	0	0	0	0	85	0	0	0	138	0
ABL1	24.9	0	0	0	0	0	0	0	0	0	249	0
ABL2	79.5	0	0	0	0	0	146	0	0	0	649	0
ABLIM1	59.3	0	0	0	0	0	138	179	0	0	276	0
ABLIM2	15.6	0	0	0	0	0	0	0	0	0	156	0
ABR	50.5	0	0	0	0	0	0	0	0	0	505	0
ABRACL	125.2	0	0	0	0	0	0	0	0	0	1252	0
ABRAXAS1	119.8	0	0	0	0	0	99	0	0	0	1099	0
ABRAXAS2	12.3	0	0	0	0	0	123	0	0	0	0	0
ABT1	81.2	0	0	0	0	0	178	341	0	0	293	0
ABTB1	39.3	0	0	0	0	0	0	0	0	0	393	0
ABTB2	22.1	0	0	0	0	0	0	0	0	0	221	0
ACAA1	112.9	0	0	0	0	0	0	0	0	0	1129	0
ACAA2	51	0	0	0	0	0	0	0	0	0	510	0
ACACA	115.4	0	0	0	0	0	0	0	0	0	1154	0
ACACB	8.2	0	0	0	0	0	0	82	0	0	0	0
ACAD10	44.4	0	0	0	0	0	160	0	0	0	284	0
ACAD11	9.3	0	0	0	0	0	0	0	0	0	93	0
ACAD9	28.2	0	0	0	0	0	98	0	0	0	184	0
ACADL	14.5	0	0	0	0	0	0	0	0	0	145	0
ACADM	98.3	0	0	0	0	0	0	0	0	0	983	0
ACADS	18	0	0	0	0	0	0	0	0	0	180	0
ACADSB	35	0	0	0	0	0	107	0	0	0	243	0
ACADVL	9.2	0	0	0	0	0	0	0	0	0	92	0
ACAP1	90.5	0	0	0	0	0	0	0	0	0	905	0
ACAP2	39.9	0	0	0	0	0	0	0	0	0	399	0
ACAP3	117.9	0	0	0	0	0	0	0	0	0	1179	0
ACAT1	43.5	0	0	0	0	0	0	0	0	0	435	0
ACAT2	123	0	0	0	0	0	0	0	0	0	1230	0
ACBD3	12.6	0	0	0	0	0	0	0	0	0	126	0
ACBD4	42.9	0	0	0	0	0	118	0	0	0	311	0
ACBD5	41.1	0	0	0	0	0	0	0	0	0	411	0
ACBD6	13.4	0	0	0	0	0	0	0	0	0	134	0
ACBD7	21.7	0	0	0	0	0	0	0	0	0	217	0
ACCS	18.6	0	0	0	0	0	0	0	0	0	186	0
ACD	7.4	0	0	0	0	0	0	0	0	0	74	0
ACE	55.5	0	0	0	0	0	0	0	0	0	555	0
ACER2	102.8	0	0	0	0	0	0	0	0	0	1028	0
ACHE	8.5	0	0	0	0	0	0	0	0	0	85	0
ACO1	19.6	0	0	0	0	0	0	0	0	0	196	0
ACOT11	32.6	0	0	0	0	0	0	0	0	0	326	0
ACOT13	27.1	0	0	0	0	0	0	0	0	0	271	0
ACOT6	13.6	0	0	0	0	0	0	0	0	0	136	0
ACOT7	59.7	0	0	0	0	0	0	0	0	0	597	0
ACOT9	15.7	0	0	0	0	0	0	0	0	0	157	0
ACOX2	10.8	0	0	0	0	0	0	108	0	0	0	0
ACOX3	37	0	0	0	0	0	107	0	0	0	263	0
ACP2	36	0	0	0	0	0	240	0	0	0	120	0
ACP3	16.2	0	0	0	0	0	162	0	0	0	0	0
ACP4	16.1	0	0	0	0	0	0	0	0	0	161	0
ACP5	92.4	0	0	0	0	0	0	0	0	0	924	0
ACSF3	31.2	0	0	0	0	0	190	0	0	0	122	0
ACSL1	142.6	0	0	0	0	0	298	0	0	0	1128	0
ACSL3	99.3	0	0	0	0	0	0	0	0	0	993	0
ACSL4	15.2	0	0	0	0	0	0	0	0	0	152	0
ACSL5	20.3	0	0	0	0	0	0	203	0	0	0	0
ACSL6	20.6	0	0	0	0	0	0	0	0	0	206	0
ACSS1	90.6	0	0	0	0	0	0	0	0	0	906	0
ACSS2	84.6	0	0	0	0	0	111	0	0	0	735	0
ACTA2	28.7	0	0	0	0	0	0	0	0	0	287	0
ACTB	22	0	0	0	0	0	0	0	0	0	220	0
ACTL10	47.2	0	0	0	0	0	0	0	0	0	472	0
ACTL6A	34.1	0	0	0	0	0	0	0	0	0	341	0
ACTN1	152.3	0	0	0	0	0	0	0	0	0	1523	0
ACTN3	13.5	0	0	0	0	0	0	0	0	0	135	0
ACTN4	78.5	0	0	0	0	0	0	0	0	0	785	0
ACTR1A	19.8	0	0	0	0	0	0	0	0	0	198	0
ACTR1B	10.9	0	0	0	0	0	0	0	0	0	109	0
ACTR2	29.8	95	0	0	0	0	0	0	0	0	203	0
ACTR3	11.2	0	0	0	0	0	112	0	0	0	0	0
ACTR3B	16.5	0	0	0	0	0	0	0	0	0	165	0
ACTR3C	13.6	0	0	0	0	0	0	0	0	0	136	0
ACTR5	22.7	0	0	0	0	0	0	0	0	0	227	0
ACTR6	104.3	0	0	0	0	0	242	711	0	0	90	0
ACTR8	27.4	0	0	0	0	0	0	0	0	0	274	0
ACTRT3	8.6	0	0	0	0	0	0	0	0	0	86	0
ACVR1	52.3	0	0	0	0	0	0	0	0	0	523	0
ACVR1B	41.8	0	0	0	0	0	0	0	0	0	418	0
ACVR1C	25.1	0	0	0	0	0	0	0	0	0	251	0
ACVR2A	21.4	0	0	0	0	0	0	0	0	0	214	0
ACVR2B	10.9	0	0	0	0	0	0	0	0	0	109	0
ACVRL1	16.3	0	0	0	0	0	0	0	0	0	163	0
ACYP2	29.7	0	0	0	0	0	0	103	0	0	194	0
ADA2	35.3	149	0	0	0	0	0	0	0	0	204	0
ADAL	8.1	0	0	0	0	0	81	0	0	0	0	0
ADAM10	17.1	0	0	0	0	0	0	0	0	0	171	0
ADAM15	27.5	0	0	0	0	0	0	0	0	0	275	0
ADAM17	135.1	0	0	0	0	0	0	0	0	0	1351	0
ADAM22	31	0	0	0	0	0	0	0	0	0	310	0
ADAM9	17.5	0	0	0	0	0	0	0	0	0	175	0
ADAMTS10	103.9	0	0	0	0	0	0	0	0	0	1039	0
ADAMTS14	28.8	0	0	0	0	0	0	0	0	0	288	0
ADAMTS15	20.1	0	0	0	0	0	0	0	0	0	201	0
ADAMTS17	11.8	0	0	0	0	0	0	0	0	0	118	0
ADAMTS19	12	0	0	0	0	0	0	0	0	0	120	0
ADAMTS2	28.8	0	0	0	0	0	0	0	0	0	288	0
ADAMTS3	17.4	0	0	0	0	0	0	0	0	0	174	0
ADAMTS7	25.3	0	0	0	0	0	0	0	0	0	253	0
ADAMTS8	20.9	0	0	0	0	0	0	0	0	0	209	0
ADAMTSL4	10.2	0	0	0	0	0	0	0	0	0	102	0
ADAP1	45.9	0	0	0	0	0	0	0	0	0	459	0
ADAR	30	0	0	0	0	0	0	0	0	0	300	0
ADARB1	37.7	0	0	0	0	0	0	0	0	0	377	0
ADAT1	9.5	0	0	0	0	0	95	0	0	0	0	0
ADAT2	36.2	0	0	0	0	0	192	0	0	0	170	0
ADAT3	15.7	0	0	0	0	0	0	0	0	0	157	0
ADCK1	116.9	0	0	0	0	0	0	0	0	0	1169	0
ADCK2	18	0	0	0	0	0	0	0	0	0	180	0
ADCK5	77.5	0	0	0	0	0	0	0	0	0	775	0
ADCY1	25.1	0	0	0	0	0	0	0	0	0	251	0
ADCY3	10.7	0	0	0	0	0	0	0	0	0	107	0
ADCY5	67.5	0	0	0	0	0	0	0	0	0	675	0
ADCY6	19.8	0	0	0	0	0	0	0	0	0	198	0
ADCY7	168.8	0	0	0	0	0	0	0	0	0	1688	0
ADCY9	27.3	0	0	0	0	0	0	0	0	0	273	0
ADD1	123.3	0	0	0	0	0	0	0	0	0	1233	0
ADD2	28.1	0	0	0	0	0	0	0	0	0	281	0
ADD3	59.6	0	0	0	0	0	426	0	0	0	170	0
ADGB	38.2	0	0	0	0	0	0	0	0	0	382	0
ADGRA2	10.9	0	0	0	0	0	0	0	0	0	109	0
ADGRA3	12.8	0	0	0	0	0	0	0	0	0	128	0
ADGRB3	9.2	0	0	0	0	0	0	0	0	0	92	0
ADGRD1	10.3	0	0	0	0	0	0	0	0	0	103	0
ADGRE2	77.6	0	0	0	0	0	0	0	0	0	776	0
ADGRE5	23.7	0	0	0	0	0	237	0	0	0	0	0
ADGRG1	63	0	0	0	0	0	0	0	0	0	630	0
ADGRG5	40.8	0	0	0	0	0	0	0	0	0	408	0
ADGRG7	15.8	0	0	0	0	0	158	0	0	0	0	0
ADGRL1	23.4	0	0	0	0	0	120	0	0	0	114	0
ADI1	202.2	0	0	0	0	0	0	0	0	0	2022	0
ADIPOR1	29.2	0	0	0	0	0	0	0	0	0	292	0
ADIPOR2	179.5	0	0	0	0	0	0	0	0	0	1795	0
ADK	42	0	0	0	0	0	0	0	0	0	420	0
ADNP	41.4	0	0	0	0	0	0	0	0	0	414	0
ADNP2	19.9	0	0	0	0	0	0	0	0	0	199	0
ADO	62.6	0	0	0	0	0	0	0	0	0	626	0
ADORA2A	123.3	144	150	0	0	0	0	0	0	0	939	0
ADORA2B	32.2	0	0	0	0	0	0	0	0	0	322	0
ADPGK	18.8	0	0	0	0	0	101	0	0	0	87	0
ADPRH	71	0	0	0	0	0	0	0	0	0	710	0
ADPRM	55.6	0	0	0	0	0	0	381	0	0	175	0
ADPRS	201.6	0	0	0	0	0	272	1219	0	0	525	0
ADRA1B	42.5	0	0	0	0	0	0	0	0	0	425	0
ADRA1D	34.9	0	0	0	0	0	0	0	0	0	349	0
ADRA2A	11.3	0	0	0	0	0	0	0	0	0	113	0
ADRA2C	15.8	0	0	0	0	0	0	0	0	0	158	0
ADRB2	17.1	0	0	0	0	0	0	0	0	0	171	0
ADRM1	137.3	0	0	0	0	0	217	661	0	0	495	0
ADSS2	67	0	0	0	0	0	0	0	0	0	670	0
AEBP2	14.7	0	0	0	0	0	0	0	0	0	147	0
AFAP1	47.5	0	0	0	0	0	181	0	0	0	294	0
AFAP1L1	19.4	0	0	0	0	0	0	0	0	0	194	0
AFDN	23.7	0	0	0	0	0	0	0	0	0	237	0
AFF1	65.6	0	0	0	0	0	0	0	0	0	656	0
AFF2	42.1	0	0	0	0	0	0	0	0	0	421	0
AFF3	40.8	241	0	0	0	0	0	0	0	0	167	0
AFF4	32.9	0	0	0	0	0	0	0	0	0	329	0
AFG3L2	13.9	0	0	0	0	0	0	0	0	0	139	0
AFTPH	57.5	0	0	0	0	0	0	0	0	0	575	0
AGA	121.7	0	0	0	0	0	0	0	0	0	1217	0
AGAP11	22	0	0	0	0	0	0	0	0	0	220	0
AGAP2	80.9	0	0	0	0	0	0	0	0	0	809	0
AGAP3	83.7	0	0	0	0	0	0	0	0	0	837	0
AGBL3	40.5	0	0	0	0	0	0	0	0	0	405	0
AGFG1	92.1	0	0	0	0	0	0	221	0	0	700	0
AGFG2	32.8	0	0	0	0	0	0	0	0	0	328	0
AGGF1	9.9	0	0	0	0	0	99	0	0	0	0	0
AGK	33.9	0	0	0	0	0	0	0	0	0	339	0
AGL	68.7	0	0	0	0	0	0	0	0	0	687	0
AGMAT	14.2	0	0	0	0	0	0	0	0	0	142	0
AGO2	40.8	0	0	0	0	0	0	0	0	0	408	0
AGO3	44.1	0	0	0	0	0	0	0	0	0	441	0
AGPAT1	32.2	0	0	0	0	0	0	0	0	0	322	0
AGPAT2	14.4	0	0	0	0	0	0	0	0	0	144	0
AGPAT3	58.8	0	0	0	0	0	0	0	0	0	588	0
AGPAT5	38.1	0	0	0	0	0	0	0	0	0	381	0
AGPS	31.8	0	0	0	0	0	0	0	0	0	318	0
AGT	24.4	0	0	0	0	0	0	244	0	0	0	0
AGTPBP1	53.6	0	0	0	0	0	232	0	0	0	304	0
AHCTF1	37.5	0	0	0	0	0	0	0	0	0	375	0
AHCY	93.8	0	0	0	0	0	0	165	0	0	773	0
AHCYL1	30.5	0	0	0	0	0	0	0	0	0	305	0
AHI1	123.2	0	0	0	0	0	102	0	0	0	1130	0
AHNAK	39.6	0	0	0	0	0	126	0	0	0	270	0
AHR	7.7	0	0	0	0	0	0	0	0	0	77	0
AHRR	19.9	0	0	0	0	0	0	0	0	0	199	0
AHSA1	29.9	0	0	0	0	0	152	0	0	0	147	0
AHSG	54.7	0	0	0	0	0	0	547	0	0	0	0
AIDA	293.6	523	255	120	170	124	541	339	0	205	659	0
AIF1	32.4	0	0	0	0	0	0	0	0	0	324	0
AIF1L	8.8	0	0	0	0	0	0	0	0	0	88	0
AIG1	62.8	0	0	0	0	0	236	0	0	0	392	0
AIM2	10.8	108	0	0	0	0	0	0	0	0	0	0
AIMP2	11	0	0	0	0	0	0	0	0	0	110	0
AJUBA	20.2	0	0	0	0	0	0	70	0	0	132	0
AK3	55.9	0	0	0	0	0	0	0	0	0	559	0
AK4	41.6	0	0	0	0	0	0	0	0	0	416	0
AK5	21.4	0	0	0	0	0	0	0	0	0	214	0
AK6	16.7	0	0	0	0	0	0	0	0	0	167	0
AK9	55.6	0	0	0	0	0	136	420	0	0	0	0
AKAP1	37.4	0	0	0	0	0	0	0	0	0	374	0
AKAP10	72.6	0	0	0	0	0	0	0	0	0	726	0
AKAP11	103	0	0	0	0	0	0	0	0	0	1030	0
AKAP13	129.8	0	0	0	0	0	189	0	0	0	1109	0
AKAP17A	62.9	0	0	0	0	0	0	0	0	0	629	0
AKAP5	38.5	0	0	0	0	0	0	0	0	0	385	0
AKAP7	139.4	0	0	0	0	0	0	0	0	0	1394	0
AKAP8	78.6	0	0	0	0	0	0	0	0	0	786	0
AKAP9	46.9	0	150	0	0	0	0	0	0	0	319	0
AKIRIN1	11.8	0	0	0	0	0	0	0	0	0	118	0
AKIRIN2	49.2	0	0	0	0	0	0	0	0	0	492	0
AKNA	24.8	0	0	0	0	0	0	0	0	0	248	0
AKR1A1	16	0	0	0	0	0	0	0	0	0	160	0
AKR1B1	20	0	0	0	0	0	0	0	0	0	200	0
AKR1C4	13.8	0	0	0	0	0	0	138	0	0	0	0
AKR1E2	20.1	0	0	0	0	0	0	0	0	0	201	0
AKR7A2	64	0	0	0	0	0	65	0	0	0	575	0
AKT1S1	128.4	305	172	148	79	0	356	224	0	0	0	0
AKT2	24.3	67	0	0	0	0	0	0	0	0	176	0
AKT3	68.9	0	0	0	0	0	443	0	0	0	246	0
AKTIP	22.5	0	0	0	0	0	95	0	0	0	130	0
ALAD	98.5	0	0	0	0	0	0	0	0	0	985	0
ALAS1	9.9	0	0	0	0	0	0	0	0	0	99	0
ALB	15.1	0	0	0	0	0	0	151	0	0	0	0
ALDH16A1	33.1	0	0	0	0	0	0	0	0	0	331	0
ALDH18A1	12.2	0	0	0	0	0	0	0	0	0	122	0
ALDH1B1	13.7	0	0	0	0	0	0	0	0	0	137	0
ALDH3A1	20.4	0	0	0	0	0	0	0	0	0	204	0
ALDH3A2	51.6	0	0	0	0	0	0	140	0	0	376	0
ALDH3B1	25.7	0	0	0	0	0	0	0	0	0	257	0
ALDH5A1	14	0	0	0	0	0	0	0	0	0	140	0
ALDH6A1	11.8	0	0	0	0	0	118	0	0	0	0	0
ALDH7A1	7.7	0	0	0	0	0	77	0	0	0	0	0
ALDH9A1	18.2	0	0	0	0	0	0	0	0	0	182	0
ALDOA	42.2	0	0	0	0	0	0	129	0	0	293	0
ALG1	9.6	0	0	0	0	0	0	0	0	0	96	0
ALG10	37.4	0	0	0	0	0	209	165	0	0	0	0
ALG10B	52	93	0	0	0	0	278	149	0	0	0	0
ALG11	13.7	0	0	0	0	0	0	0	0	0	137	0
ALG12	195.5	0	0	0	0	0	0	0	0	0	1955	0
ALG1L2	16.2	0	0	0	0	0	0	0	0	0	162	0
ALG2	18.2	0	0	0	0	0	0	0	0	0	182	0
ALG5	60.5	0	0	0	0	0	0	0	0	0	605	0
ALG6	134.6	0	0	0	0	0	0	0	0	0	1346	0
ALG8	42.2	0	0	0	0	0	0	0	0	0	422	0
ALK	15.7	0	0	0	0	0	0	0	0	0	157	0
ALKAL1	12.8	0	0	0	0	0	0	0	0	0	128	0
ALKBH2	21.1	0	0	0	0	0	0	0	0	0	211	0
ALKBH3	9.9	0	0	0	0	0	0	99	0	0	0	0
ALKBH4	9.5	0	0	0	0	0	0	0	0	0	95	0
ALKBH5	34	0	0	0	0	0	0	0	0	0	340	0
ALKBH7	27.5	0	0	0	0	0	0	0	0	0	275	0
ALMS1	38.3	0	0	0	0	0	0	0	0	0	383	0
ALOX5	34	0	0	0	0	0	0	0	0	0	340	0
ALOX5AP	11.3	113	0	0	0	0	0	0	0	0	0	0
ALPK1	11.3	0	0	0	0	0	113	0	0	0	0	0
ALPK2	18.9	0	0	0	0	0	189	0	0	0	0	0
ALS2	102.5	0	0	0	0	0	118	0	0	0	907	0
ALX4	64.1	0	0	0	0	0	0	0	0	0	641	0
ALYREF	178.2	0	0	0	0	0	0	0	0	0	1782	0
AMACR	113.1	0	0	0	0	0	205	0	0	0	926	0
AMD1	166.9	0	0	0	0	0	103	0	0	0	1566	0
AMDHD1	16.5	0	0	0	0	0	0	0	0	0	165	0
AMDHD2	12.7	0	0	0	0	0	0	0	0	0	127	0
AMER1	24.6	0	0	0	0	0	0	0	0	0	246	0
AMER3	20.5	0	0	0	0	0	0	0	0	0	205	0
AMFR	26.9	0	0	0	0	0	0	0	0	0	269	0
AMIGO1	13.9	0	0	0	0	0	0	0	0	0	139	0
AMIGO2	15.4	0	0	0	0	0	0	0	0	0	154	0
AMMECR1	11.4	0	0	0	0	0	0	0	0	0	114	0
AMMECR1L	167.5	0	0	0	0	0	165	1307	0	0	203	0
AMN	14.9	0	0	0	0	0	0	0	0	0	149	0
AMN1	10.3	0	0	0	0	0	0	0	0	0	103	0
AMOTL2	20.4	0	0	0	0	0	204	0	0	0	0	0
AMPD2	55.3	0	0	0	0	0	0	117	0	0	436	0
AMPD3	118.7	0	0	0	0	0	316	0	0	0	871	0
AMZ2	71.5	0	0	0	0	0	0	0	0	0	715	0
ANAPC1	51.6	0	0	0	0	0	0	0	0	0	516	0
ANAPC10	10	0	0	0	0	0	0	0	0	0	100	0
ANAPC11	178.2	0	0	0	0	0	0	0	0	0	1782	0
ANAPC13	186.3	0	0	0	0	0	151	0	0	0	1712	0
ANAPC15	14.3	0	0	0	0	0	143	0	0	0	0	0
ANAPC16	19.9	0	0	0	0	0	0	0	0	0	199	0
ANAPC2	38.7	0	0	0	0	0	67	0	0	0	320	0
ANAPC4	9.6	0	0	0	0	0	0	0	0	0	96	0
ANAPC5	80.5	0	0	0	0	0	210	0	0	0	595	0
ANGEL1	9.3	0	0	0	0	0	0	0	0	0	93	0
ANGEL2	17.2	0	0	0	0	0	0	0	0	0	172	0
ANGPT4	14.3	0	0	0	0	0	0	0	0	0	143	0
ANGPTL1	24.7	0	0	0	0	0	247	0	0	0	0	0
ANK1	53.1	0	0	0	0	0	0	0	0	0	531	0
ANK3	43.5	0	0	0	0	0	435	0	0	0	0	0
ANKAR	123.7	0	0	0	0	0	0	0	0	0	1237	0
ANKFY1	9.9	0	0	0	0	0	0	0	0	0	99	0
ANKH	15.4	0	0	0	0	0	0	0	0	0	154	0
ANKHD1	7.2	0	0	0	0	0	0	0	0	0	72	0
ANKHD1-EIF4EBP3	7.2	0	0	0	0	0	0	0	0	0	72	0
ANKIB1	37.5	0	0	0	0	0	0	0	0	0	375	0
ANKLE1	10.9	0	0	0	0	0	0	0	0	0	109	0
ANKLE2	120.1	0	0	0	0	0	0	0	0	0	1201	0
ANKMY1	113.3	0	0	0	0	0	0	0	0	0	1133	0
ANKMY2	30.8	0	0	0	0	0	0	0	0	0	308	0
ANKRD1	9.7	0	0	0	0	0	0	97	0	0	0	0
ANKRD10	67.3	0	0	0	0	0	0	0	0	0	673	0
ANKRD12	50.5	0	0	0	0	0	0	0	0	0	505	0
ANKRD13B	11	0	0	0	0	0	0	0	0	0	110	0
ANKRD13C	139.8	0	0	0	0	0	190	0	0	0	1208	0
ANKRD13D	145	0	0	0	0	0	0	0	0	0	1450	0
ANKRD16	20.2	0	0	0	0	0	0	0	0	0	202	0
ANKRD17	87.8	0	0	0	0	0	237	0	0	0	641	0
ANKRD18A	25.9	0	0	0	0	0	0	0	0	0	259	0
ANKRD18B	193.8	0	0	0	0	0	0	0	0	0	1938	0
ANKRD24	8.9	0	0	0	0	0	0	0	0	0	89	0
ANKRD26	55.6	0	0	0	0	0	0	0	0	0	556	0
ANKRD27	38.5	0	0	0	0	0	0	0	0	0	385	0
ANKRD28	114.9	0	0	0	0	0	274	0	0	0	875	0
ANKRD29	105.5	0	0	0	0	0	0	0	0	0	1055	0
ANKRD31	9.4	0	0	0	0	0	0	0	0	0	94	0
ANKRD33B	32.7	0	0	0	0	0	0	0	0	0	327	0
ANKRD34B	7.8	0	0	0	0	0	0	0	0	0	78	0
ANKRD35	19.1	0	0	0	0	0	0	0	0	0	191	0
ANKRD36	128.4	0	0	0	0	0	140	0	0	0	1144	0
ANKRD36B	95.1	0	0	0	0	0	0	0	0	0	951	0
ANKRD36C	106.8	0	0	0	0	0	0	0	0	0	1068	0
ANKRD37	28.6	0	0	0	0	0	190	0	0	0	96	0
ANKRD40	97.7	237	131	0	0	0	382	0	0	0	227	0
ANKRD42	6.7	0	0	0	0	0	0	0	0	0	67	0
ANKRD44	83.7	0	0	0	0	0	0	0	0	0	837	0
ANKRD46	256.8	0	0	0	0	0	96	650	0	0	1822	0
ANKRD49	8.1	0	0	0	0	0	81	0	0	0	0	0
ANKRD50	30	0	0	0	0	0	0	0	0	0	300	0
ANKRD52	82.5	0	0	0	0	0	0	0	0	0	825	0
ANKRD54	29	0	0	0	0	0	0	0	0	0	290	0
ANKRD6	58.4	0	0	0	0	0	0	0	0	0	584	0
ANKRD60	44.6	0	0	0	0	0	261	0	0	0	185	0
ANKRD63	131.6	0	0	0	0	0	0	0	0	0	1316	0
ANKRD9	22.7	0	0	0	0	0	0	0	0	0	227	0
ANKS1B	25.3	0	0	0	0	0	0	0	0	0	253	0
ANKS3	98.9	0	0	0	0	0	0	0	0	0	989	0
ANKS4B	21.3	0	0	0	0	0	0	213	0	0	0	0
ANKS6	63.2	0	0	0	0	0	0	0	0	0	632	0
ANLN	57.6	0	0	0	0	0	0	0	0	0	576	0
ANO10	101.3	0	0	0	0	0	0	0	0	0	1013	0
ANO6	14.9	0	0	0	0	0	0	0	0	0	149	0
ANO8	30.6	0	0	0	0	0	0	0	0	0	306	0
ANP32A	10.3	0	0	0	0	0	0	0	0	0	103	0
ANP32B	45.2	0	0	0	0	0	0	0	0	0	452	0
ANP32E	47.2	0	0	0	0	0	142	0	0	0	330	0
ANPEP	196.8	0	0	0	0	0	0	0	0	0	1968	0
ANTKMT	139.5	0	0	0	0	0	0	0	0	0	1395	0
ANTXR2	48.5	0	0	0	0	0	0	0	0	0	485	0
ANXA11	43.2	0	0	0	0	0	0	0	0	0	432	0
ANXA2	44.2	0	0	0	0	0	0	0	0	0	442	0
ANXA3	10.9	0	0	0	0	0	0	0	0	0	109	0
ANXA4	165.1	0	0	0	0	0	0	0	0	0	1651	0
ANXA5	47.6	0	0	0	0	0	0	0	0	0	476	0
ANXA6	9.8	0	0	0	0	0	0	0	0	0	98	0
ANXA7	17.5	0	0	0	0	0	0	0	0	0	175	0
AOAH	38.9	0	0	0	0	0	0	0	0	0	389	0
AOC1	7.9	0	0	0	0	0	0	0	0	0	79	0
AOPEP	15.2	0	0	0	0	0	0	0	0	0	152	0
AP1AR	37.3	0	0	0	0	0	0	128	0	0	245	0
AP1S2	175.4	0	0	0	0	0	0	0	0	0	1754	0
AP2A1	11.3	0	0	0	0	0	113	0	0	0	0	0
AP2A2	218.5	0	0	0	0	0	0	0	0	0	2185	0
AP2B1	65.4	0	0	0	0	0	248	0	0	0	406	0
